inflation_pct,gdp_usd,unemployment_pct,year,nikkei_avg_close,usd_jpy,boj_rate_pct,gdp_trillion,toyota_avg_close,sony_avg_close
2.75922671353253,4985763289560.81,3.589,2014,15460.432280993851,105.7398,0.2049166666666666,4.99,85.24291132366847,3.392566612788609
0.795279630579839,4534438580494.94,3.385,2015,19203.767145876023,121.04908366533864,0.1696666666666666,4.53,97.89697141495962,5.130590664961981
-0.127258844489754,5110357383254.44,3.132,2016,16920.47629544005,108.65693227091631,0.0736666666666666,5.11,86.333556462848,5.318064876965114
0.484199796126385,5038231631660.71,2.822,2017,20209.02544597672,112.09855421686748,0.0593333333333333,5.04,92.34913036452822,7.0827693559259055
0.989094598021848,5154293721629.56,2.467,2018,22311.891871506607,110.39738955823292,0.0723333333333333,5.15,105.84345290955319,9.850504514230675
0.46877615938395,5245755000479.03,2.351,2019,21697.22617349585,109.01883534136546,0.0310833333333333,5.25,108.57713968791658,10.360772004203191
-0.024995834027731,5189197543645.38,2.809,2020,22703.03225884556,106.77544,-0.0354166666666666,5.19,114.44233661395288,14.339293046431107
-0.233352779398264,5225933520753.1,2.808,2021,28836.538639987244,109.84289156626508,-0.0655,5.23,150.99368831089564,21.016281249031188
2.49770278172255,4447976207314.78,2.614,2022,27257.78989497951,131.45892,-0.0295,4.45,147.2088716362577,17.23289498484942
3.26813365933163,4384854269961.93,2.6,2023,30716.555235327745,140.5001204819277,0.0038333333333333,4.38,150.71673052978517,17.493647975921633
