inflation_pct,gdp_usd,unemployment_pct,year,nikkei_avg_close,usd_jpy,boj_rate_pct,gdp_trillion
2.75922671353253,4985763289560.81,3.589,2014,15460.432280993853,105.7398,0.20491666666666666,4.99
0.795279630579839,4534438580494.94,3.385,2015,19203.767145876023,121.04908366533864,0.16966666666666666,4.53
-0.127258844489754,5110357383254.44,3.132,2016,16920.47629544005,108.65693227091633,0.07366666666666667,5.11
0.484199796126385,5038231631660.71,2.822,2017,20209.02544597672,112.09855421686747,0.05933333333333333,5.04
0.989094598021848,5154293721629.56,2.467,2018,22311.891871506607,110.39738955823293,0.07233333333333333,5.15
0.46877615938395,5245755000479.03,2.351,2019,21697.226173495852,109.01883534136546,0.031083333333333334,5.25
-0.024995834027731,5189197543645.38,2.809,2020,22703.032258845556,106.77544,-0.03541666666666667,5.19
-0.233352779398264,5225933520753.1,2.808,2021,28836.538639987244,109.84289156626507,-0.0655,5.23
2.49770278172255,4447976207314.78,2.614,2022,27257.78989497951,131.45892,-0.0295,4.45
3.26813365933163,4384854269961.93,2.6,2023,30716.555235327745,140.5001204819277,0.003833333333333333,4.38
