year,gdp_trillion,nikkei_avg_close,unemployment_pct,gdp_trillion_idx,nikkei_avg_close_idx,unemployment_pct_idx,recovery_score
2014,4.99,15460.432280993851,3.589,100.0,100.0,100.0,100.0
2015,4.53,19203.767145876023,3.385,90.78156312625251,124.2123557533641,106.02658788774005,107.0
2016,5.11,16920.47629544005,3.132,102.40480961923848,109.44374638373529,114.59131545338441,108.8
2017,5.04,20209.02544597672,2.822,101.00200400801602,130.71449153993262,127.1793054571226,119.6
2018,5.15,22311.891871506607,2.467,103.20641282565131,144.31609327596576,145.48034049452775,131.0
2019,5.25,21697.22617349585,2.351,105.21042084168337,140.34035904784594,152.6584432156529,132.7
2020,5.19,22703.03225884556,2.809,104.00801603206413,146.84603797757543,127.76788892844428,126.2
2021,5.23,28836.538639987244,2.808,104.80961923847696,186.5183205481078,127.81339031339031,139.7
2022,4.45,27257.78989497951,2.614,89.17835671342685,176.30677719463662,137.2991583779648,134.3
2023,4.38,30716.555235327745,2.6,87.7755511022044,198.67850184945266,138.03846153846152,141.5
