Date,Close,High,Low,Open,Volume,ticker
2014-01-02,3.2039403915405273,3.246883653076409,3.1890035758877713,3.2356812082684265,13127000,sony
2014-01-03,3.2076752185821533,3.2226118137837516,3.1964725496054767,3.2132763304950136,4642000,sony
2014-01-06,3.2300808429718018,3.2655555960290976,3.2244795076007775,3.2300808429718018,11781500,sony
2014-01-07,3.233814001083374,3.245016668391412,3.2114088890427435,3.2412822975717694,17191500,sony
2014-01-08,3.407454490661621,3.4205241217981492,3.2226115788965313,3.24875106374505,42864500,sony
2014-01-09,3.375713586807251,3.396251737059001,3.3570426220603715,3.3906504031198454,13011000,sony
2014-01-10,3.323434591293335,3.3290359248116315,3.261820367742951,3.3103649614676023,17033500,sony
2014-01-13,3.27675724029541,3.3178333158562543,3.2692889438572363,3.3010295375826413,24355000,sony
2014-01-14,3.2730231285095215,3.2860927587095308,3.2394153490127513,3.2562191274734134,14303500,sony
2014-01-15,3.250617742538452,3.2692887048443238,3.2375478908639996,3.246883372016936,13571000,sony
2014-01-16,3.2132761478424072,3.2338142989403695,3.205807850666129,3.226346001764092,11705000,sony
2014-01-17,3.1834025382995605,3.220744467006226,3.1834025382995605,3.2039404655429555,9680500,sony
2014-01-21,3.146059989929199,3.1852690991524977,3.1404588793905197,3.183402136498079,14266500,sony
2014-01-22,3.1946051120758057,3.19833948315729,3.146060513771115,3.1497948848525996,19626500,sony
2014-01-23,3.1348583698272705,3.1703331179103675,3.112453254060289,3.164732005900234,11469000,sony
2014-01-24,3.121788501739502,3.157263247143385,3.104984499251769,3.1497949499769247,15650000,sony
2014-01-27,3.0303006172180176,3.0863135133219344,2.942546901928177,3.0751108450709657,33966500,sony
2014-01-28,3.065775156021118,3.075110638076707,2.992958485017705,2.9985595961906992,10703000,sony
2014-01-29,2.996692657470703,3.035901771450283,2.994825472014361,3.0228319184067893,11498000,sony
2014-01-30,3.011629581451416,3.0807121071829755,2.9966927649911024,3.0284333608596072,12195500,sony
2014-01-31,2.9406795501708984,2.9500150316207088,2.903337401796223,2.936945179530627,23952500,sony
2014-02-03,2.847324848175049,2.9257430796421846,2.8435906996707714,2.9126732260140216,14380500,sony
2014-02-04,3.006028413772583,3.0508386430572982,2.852926314802952,2.852926314802952,39691000,sony
2014-02-05,2.968686103820801,2.9798885484277617,2.9257428430555104,2.9612175848407176,14067000,sony
2014-02-06,3.084446668624878,3.1255229750342335,2.8846671390490677,2.8846671390490677,31628000,sony
2014-02-07,3.1404590606689453,3.149794542206186,3.0844459488700617,3.1236550603566493,18125500,sony
2014-02-10,3.1143198013305664,3.1348579512100763,3.0844461692468164,3.118053949697172,11094000,sony
2014-02-11,3.1946051120758057,3.20767496571008,3.125522585700254,3.1367250312183255,24315500,sony
2014-02-12,3.233814001083374,3.2412822975717694,3.1946048880806863,3.196472073490508,13905500,sony
2014-02-13,3.211409091949463,3.2263459084454524,3.127389526981453,3.1441935290052387,21296500,sony
2014-02-14,3.1852691173553467,3.1983389688880854,3.1348575641911784,3.1348575641911784,20059500,sony
2014-02-18,3.2375481128692627,3.2468835946623518,3.2114088528787907,3.2300798164649684,9163500,sony
2014-02-19,3.187136650085449,3.220744430050918,3.1778011680158995,3.194604946710909,13277000,sony
2014-02-20,3.205807685852051,3.2151431681301834,3.170332719649874,3.192738055177756,8962000,sony
2014-02-21,3.196471929550171,3.235681040787233,3.196471929550171,3.218877040581877,7017500,sony
2014-02-24,3.248751640319824,3.263688459659121,3.233814820980527,3.248751640319824,9817000,sony
2014-02-25,3.226346254348755,3.239415886718171,3.2058081016428988,3.222611882892793,9754000,sony
2014-02-26,3.2450170516967773,3.273023500699583,3.2039407484322853,3.2394157173811218,8785000,sony
2014-02-27,3.271155595779419,3.2935609281153635,3.224478191038571,3.2450163381547132,15480500,sony
2014-02-28,3.27675724029541,3.297295389363554,3.2543521284054444,3.2730230920763232,11012000,sony
2014-03-03,3.2132761478424072,3.226346001764092,3.181535550980028,3.2114091848360706,9114000,sony
2014-03-04,3.241283416748047,3.271157058167528,3.2319479316263995,3.2543532739787713,7286000,sony
2014-03-05,3.2636873722076416,3.284225297202432,3.2543518910530747,3.261820186946557,5012000,sony
2014-03-06,3.3346376419067383,3.3458403102319525,3.327169122164774,3.3402389760693456,8012500,sony
2014-03-07,3.351440668106079,3.358909186168432,3.30849741261765,3.3477065203626104,7617000,sony
2014-03-10,3.3682446479797363,3.3925169420396766,3.33463687332562,3.3850484240190872,8034000,sony
2014-03-11,3.332770347595215,3.3682453144173734,3.317833531174067,3.3682453144173734,8406000,sony
2014-03-12,3.3309035301208496,3.3327704931453663,3.3028970815738847,3.310365378822888,7572500,sony
2014-03-13,3.291693687438965,3.3402382765817635,3.2674213928675657,3.3383710913934177,12166000,sony
2014-03-14,3.205807685852051,3.2356813181722575,3.196472203573918,3.222611464922508,15427500,sony
2014-03-17,3.215143918991089,3.237549037175981,3.2020742852645268,3.2020742852645268,6010500,sony
2014-03-18,3.202073812484741,3.2132762586354158,3.159130545801806,3.1703329919524803,9698000,sony
2014-03-19,3.202073812484741,3.2394157448046026,3.181535660678628,3.2058079612016326,17635500,sony
2014-03-20,3.2879602909088135,3.2898272539483253,3.231947170789527,3.2338143564045088,15960000,sony
2014-03-21,3.315966844558716,3.332770625323146,3.2879603949010145,3.2879603949010145,20048500,sony
2014-03-24,3.2954280376434326,3.319700333705622,3.2748898896118654,3.3122320376443786,14252000,sony
2014-03-25,3.407454490661621,3.407454490661621,3.345840260931745,3.3533085579882007,16915500,sony
2014-03-26,3.3927924633026123,3.4585808460572065,3.3871536575314685,3.441663756523735,11586500,sony
2014-03-27,3.4341461658477783,3.456702067499837,3.4172290715536766,3.443544476875587,14368000,sony
2014-03-28,3.50557279586792,3.531887972773017,3.496174486391332,3.496174486391332,14830500,sony
2014-03-31,3.593916416168213,3.6183520626034236,3.5863978591450767,3.593916416168213,14943500,sony
2014-04-01,3.654066324234009,3.6578256033171614,3.625871395000295,3.650307045150856,11150000,sony
2014-04-02,3.625871181488037,3.6371490180733907,3.5863981932558837,3.607074563105748,7212500,sony
2014-04-03,3.588278293609619,3.623991782379023,3.561962890871764,3.6183527515013836,9281500,sony
2014-04-04,3.577000141143799,3.635269751946079,3.5619628005425605,3.6202324113448405,6893000,sony
2014-04-07,3.5807595252990723,3.6202325175258885,3.5563238741145375,3.6051951764836065,9109500,sony
2014-04-08,3.5525643825531006,3.5732407532596873,3.545045824518001,3.5563236615706506,8981500,sony
2014-04-09,3.537526845932007,3.5469251549905785,3.488655549198091,3.5112116701973526,5718500,sony
2014-04-10,3.4115896224975586,3.486776096577934,3.4078301195348457,3.458581168797793,12859000,sony
2014-04-11,3.454821825027466,3.460460631218904,3.4341454554143143,3.4454232918705543,6329500,sony
2014-04-14,3.4942944049835205,3.5187300521304468,3.477377539152069,3.496174156330727,5385000,sony
2014-04-15,3.486776351928711,3.503693220206339,3.445423608897381,3.4924153827123816,6567000,sony
2014-04-16,3.530008316040039,3.5356473463341445,3.507452418936981,3.5243692857459332,5135500,sony
2014-04-17,3.5168509483337402,3.54316612592323,3.5130914451866313,3.5337678162022153,4809000,sony
2014-04-21,3.5713613033294678,3.580759613703753,3.533768061832325,3.53564781353654,6468500,sony
2014-04-22,3.511212110519409,3.5243697000367584,3.4905357383682953,3.5036933278856446,7374000,sony
2014-04-23,3.5074524879455566,3.5224896035945386,3.4999337060476967,3.5206100761751005,3622000,sony
2014-04-24,3.4115896224975586,3.419108180276249,3.355199542863909,3.413469149905547,13162500,sony
2014-04-25,3.358959197998047,3.3815153220074174,3.3401625773725,3.370237260002732,5894000,sony
2014-04-28,3.3739960193634033,3.379635049496743,3.325124947712295,3.358958680365617,7189500,sony
2014-04-29,3.37587571144104,3.392792577470419,3.366477402741751,3.379634990106085,4968500,sony
2014-04-30,3.3157272338867188,3.321366040958638,3.2818932710882116,3.306328699262257,7395500,sony
2014-05-01,3.2255032062530518,3.287532101138299,3.1503167213190313,3.167233590799826,19211500,sony
2014-05-02,3.313847780227661,3.3326444030205433,3.287532373873575,3.3082087485751126,6883000,sony
2014-05-05,3.3157272338867188,3.3232457926982097,3.2912915816392747,3.2988101404507657,3759500,sony
2014-05-06,3.2912914752960205,3.3082083441119825,3.2818931650486216,3.3063285924331463,6018500,sony
2014-05-07,3.2988102436065674,3.304449274928221,3.2536982171067446,3.2762543423933588,6816500,sony
2014-05-08,3.287532091140747,3.311967743484674,3.257457631702637,3.257457631702637,14654500,sony
2014-05-09,3.266855239868164,3.2800128270478472,3.257456931300769,3.268734767137633,7381500,sony
2014-05-12,3.2800133228302,3.2875318811912253,3.2424200828783056,3.2442996104318693,5840500,sony
2014-05-13,3.3157272338867188,3.325125544437782,3.2931711093054483,3.3082084510018293,10365000,sony
2014-05-14,3.101444721221924,3.231141513102611,3.0600922085930153,3.1484362637714445,35936000,sony
2014-05-15,3.0807690620422363,3.114602798746674,3.0600926904354044,3.10332496120299,19089500,sony
2014-05-16,3.0788891315460205,3.080768883064122,3.0356568632900256,3.054453482177556,8677000,sony
2014-05-19,3.0676112174987793,3.075129999857906,3.0112213581355536,3.0112213581355536,18729000,sony
2014-05-20,3.0093419551849365,3.0281385771504246,2.994304836871273,3.024379297572009,15940000,sony
2014-05-21,3.0168604850769043,3.0318978262012286,3.007462174883375,3.0224995160076995,7113000,sony
2014-05-22,3.0412960052490234,3.077009492815053,3.037536726148396,3.0694909346137984,11380000,sony
